TEAM_NAME,OFF_RATING,DEF_RATING,NET_RATING,TS_PCT,SEASON
Los Angeles Lakers,111.7,104.3,7.3,0.57,2007-08
Memphis Grizzlies,103.9,110.2,-6.3,0.539,2007-08
Miami Heat,99.4,108.8,-9.4,0.522,2007-08
Milwaukee Bucks,103.9,111.1,-7.2,0.522,2007-08
Minnesota Timberwolves,102.7,110.0,-7.3,0.518,2007-08
New Jersey Nets,102.3,107.7,-5.4,0.528,2007-08
New Orleans Hornets,110.0,104.4,5.6,0.548,2007-08
New York Knicks,103.5,110.4,-6.8,0.518,2007-08
Orlando Magic,110.4,104.9,5.6,0.575,2007-08
Philadelphia 76ers,105.1,104.7,0.5,0.522,2007-08
Phoenix Suns,112.0,107.0,5.0,0.59,2007-08
Portland Trail Blazers,105.9,106.8,-0.8,0.532,2007-08
Sacramento Kings,106.2,108.6,-2.4,0.556,2007-08
San Antonio Spurs,106.0,100.7,5.3,0.543,2007-08
Seattle SuperSonics,99.6,108.3,-8.6,0.509,2007-08
Toronto Raptors,108.9,105.6,3.3,0.551,2007-08
Utah Jazz,112.1,104.9,7.2,0.573,2007-08
Washington Wizards,107.6,107.9,-0.3,0.535,2007-08
Atlanta Hawks,108.3,106.7,1.7,0.546,2008-09
Boston Celtics,109.5,101.6,7.9,0.571,2008-09
Charlotte Bobcats,103.7,105.0,-1.3,0.536,2008-09
Chicago Bulls,107.2,107.5,-0.3,0.541,2008-09
Cleveland Cavaliers,111.2,101.6,9.6,0.56,2008-09
Dallas Mavericks,109.0,107.0,2.0,0.55,2008-09
Denver Nuggets,109.0,105.6,3.4,0.563,2008-09
Detroit Pistons,105.8,106.4,-0.6,0.524,2008-09
Golden State Warriors,108.0,111.7,-3.7,0.549,2008-09
Houston Rockets,107.1,102.9,4.2,0.548,2008-09
Indiana Pacers,107.2,108.2,-1.0,0.545,2008-09
Los Angeles Clippers,101.0,110.1,-9.2,0.52,2008-09
Los Angeles Lakers,111.4,103.5,7.9,0.555,2008-09
Memphis Grizzlies,102.3,108.2,-6.0,0.533,2008-09
Miami Heat,106.8,106.5,0.3,0.54,2008-09
Milwaukee Bucks,105.2,106.3,-1.1,0.531,2008-09
Minnesota Timberwolves,104.9,109.9,-5.0,0.526,2008-09
New Jersey Nets,106.8,109.5,-2.7,0.543,2008-09
New Orleans Hornets,107.6,105.8,1.8,0.548,2008-09
New York Knicks,107.0,109.4,-2.5,0.544,2008-09
