TEAM_NAME,PACE,SEASON
Boston Celtics,99.92,2019-20
Brooklyn Nets,101.7,2019-20
Charlotte Hornets,96.24,2019-20
Chicago Bulls,100.46,2019-20
Cleveland Cavaliers,99.17,2019-20
Dallas Mavericks,99.89,2019-20
Denver Nuggets,97.64,2019-20
Detroit Pistons,97.86,2019-20
Golden State Warriors,101.04,2019-20
Houston Rockets,104.04,2019-20
Indiana Pacers,99.41,2019-20
LA Clippers,102.16,2019-20
Los Angeles Lakers,101.2,2019-20
Memphis Grizzlies,103.31,2019-20
Miami Heat,98.7,2019-20
Milwaukee Bucks,105.51,2019-20
Minnesota Timberwolves,103.94,2019-20
New Orleans Pelicans,103.89,2019-20
New York Knicks,99.11,2019-20
Oklahoma City Thunder,99.42,2019-20
Orlando Magic,98.99,2019-20
Philadelphia 76ers,99.59,2019-20
Phoenix Suns,101.74,2019-20
Portland Trail Blazers,101.17,2019-20
Sacramento Kings,99.6,2019-20
San Antonio Spurs,101.14,2019-20
Toronto Raptors,101.19,2019-20
Utah Jazz,99.15,2019-20
Washington Wizards,103.38,2019-20
Atlanta Hawks,98.68,2020-21
Boston Celtics,98.94,2020-21
Brooklyn Nets,100.27,2020-21
Charlotte Hornets,99.0,2020-21
Chicago Bulls,99.58,2020-21
Cleveland Cavaliers,97.96,2020-21
Dallas Mavericks,97.94,2020-21
Denver Nuggets,97.74,2020-21
Detroit Pistons,98.19,2020-21
Golden State Warriors,102.81,2020-21
Houston Rockets,101.69,2020-21
Indiana Pacers,102.05,2020-21
LA Clippers,97.63,2020-21
Los Angeles Lakers,98.85,2020-21
Memphis Grizzlies,100.77,2020-21
Miami Heat,97.09,2020-21
Milwaukee Bucks,102.85,2020-21
Minnesota Timberwolves,101.96,2020-21
New Orleans Pelicans,100.54,2020-21
New York Knicks,96.32,2020-21
Oklahoma City Thunder,101.61,2020-21
Orlando Magic,99.17,2020-21
Philadelphia 76ers,100.12,2020-21
Phoenix Suns,98.0,2020-21
Portland Trail Blazers,98.97,2020-21
Sacramento Kings,100.71,2020-21
San Antonio Spurs,99.45,2020-21
Toronto Raptors,99.57,2020-21
Utah Jazz,99.37,2020-21
Washington Wizards,104.67,2020-21
Atlanta Hawks,98.67,2021-22
Boston Celtics,97.26,2021-22
Brooklyn Nets,99.4,2021-22
Charlotte Hornets,100.52,2021-22
Chicago Bulls,98.76,2021-22
Cleveland Cavaliers,96.83,2021-22
Dallas Mavericks,95.64,2021-22
Denver Nuggets,98.41,2021-22
Detroit Pistons,98.81,2021-22
Golden State Warriors,98.74,2021-22
Houston Rockets,101.16,2021-22
Indiana Pacers,98.55,2021-22
LA Clippers,98.51,2021-22
Los Angeles Lakers,100.47,2021-22
Memphis Grizzlies,100.52,2021-22
Miami Heat,96.53,2021-22
Milwaukee Bucks,100.59,2021-22
Minnesota Timberwolves,101.47,2021-22
New Orleans Pelicans,98.02,2021-22
New York Knicks,96.42,2021-22
Oklahoma City Thunder,99.39,2021-22
Orlando Magic,99.71,2021-22
Philadelphia 76ers,96.71,2021-22
Phoenix Suns,100.26,2021-22
Portland Trail Blazers,98.74,2021-22
Sacramento Kings,100.1,2021-22
San Antonio Spurs,100.51,2021-22
Toronto Raptors,96.63,2021-22
Utah Jazz,97.5,2021-22
Washington Wizards,97.8,2021-22
Atlanta Hawks,101.56,2022-23
Boston Celtics,99.15,2022-23
Brooklyn Nets,98.77,2022-23
Charlotte Hornets,101.47,2022-23
Chicago Bulls,99.18,2022-23
Cleveland Cavaliers,96.27,2022-23
Dallas Mavericks,97.21,2022-23
Denver Nuggets,98.74,2022-23
Detroit Pistons,99.88,2022-23
Golden State Warriors,102.54,2022-23
Houston Rockets,99.74,2022-23
Indiana Pacers,101.68,2022-23
LA Clippers,98.84,2022-23
Los Angeles Lakers,101.92,2022-23
Memphis Grizzlies,101.5,2022-23
Miami Heat,96.76,2022-23
Milwaukee Bucks,101.45,2022-23
Minnesota Timberwolves,101.55,2022-23
