Team,Season,Wins,Losses
Phoenix Suns,2017-18,21,61
Phoenix Suns,2018-19,19,63
Phoenix Suns,2019-20,34,39
Phoenix Suns,2020-21,51,21
Phoenix Suns,2021-22,64,18
Phoenix Suns,2022-23,45,37
Phoenix Suns,2023-24,49,33
Phoenix Suns,2024-25,26,26
Portland Trail Blazers,2000-01,50,32
Portland Trail Blazers,2001-02,49,33
Portland Trail Blazers,2002-03,50,32
Portland Trail Blazers,2003-04,41,41
Portland Trail Blazers,2004-05,27,55
Portland Trail Blazers,2005-06,21,61
Portland Trail Blazers,2006-07,32,50
Portland Trail Blazers,2007-08,41,41
Portland Trail Blazers,2008-09,54,28
Portland Trail Blazers,2009-10,50,32
Portland Trail Blazers,2010-11,48,34
Portland Trail Blazers,2011-12,28,38
Portland Trail Blazers,2012-13,33,49
Portland Trail Blazers,2013-14,54,28
Portland Trail Blazers,2014-15,51,31
Portland Trail Blazers,2015-16,44,38
Portland Trail Blazers,2016-17,41,41
Portland Trail Blazers,2017-18,49,33
Portland Trail Blazers,2018-19,53,29
Portland Trail Blazers,2019-20,35,39
Portland Trail Blazers,2020-21,42,30
Portland Trail Blazers,2021-22,27,55
Portland Trail Blazers,2022-23,33,49
Portland Trail Blazers,2023-24,21,61
Portland Trail Blazers,2024-25,23,31
Sacramento Kings,2000-01,55,27
Sacramento Kings,2001-02,61,21
Sacramento Kings,2002-03,59,23
Sacramento Kings,2003-04,55,27
Sacramento Kings,2004-05,50,32
Sacramento Kings,2005-06,44,38
Sacramento Kings,2006-07,33,49
Sacramento Kings,2007-08,38,44
Sacramento Kings,2008-09,17,65
Sacramento Kings,2009-10,25,57
Sacramento Kings,2010-11,24,58
Sacramento Kings,2011-12,22,44
Sacramento Kings,2012-13,28,54
Sacramento Kings,2013-14,28,54
Sacramento Kings,2014-15,29,53
Sacramento Kings,2015-16,33,49
Sacramento Kings,2016-17,32,50
Sacramento Kings,2017-18,27,55
Sacramento Kings,2018-19,39,43
Sacramento Kings,2019-20,31,41
Sacramento Kings,2020-21,31,41
Sacramento Kings,2021-22,30,52
Sacramento Kings,2022-23,48,34
Sacramento Kings,2023-24,46,36
Sacramento Kings,2024-25,27,26
San Antonio Spurs,2000-01,58,24
San Antonio Spurs,2001-02,58,24
San Antonio Spurs,2002-03,60,22
San Antonio Spurs,2003-04,57,25
San Antonio Spurs,2004-05,59,23
San Antonio Spurs,2005-06,63,19
San Antonio Spurs,2006-07,58,24
San Antonio Spurs,2007-08,56,26
San Antonio Spurs,2008-09,54,28
San Antonio Spurs,2009-10,50,32
San Antonio Spurs,2010-11,61,21
San Antonio Spurs,2011-12,50,16
San Antonio Spurs,2012-13,58,24
San Antonio Spurs,2013-14,62,20
San Antonio Spurs,2014-15,55,27
San Antonio Spurs,2015-16,67,15
San Antonio Spurs,2016-17,61,21
San Antonio Spurs,2017-18,47,35
San Antonio Spurs,2018-19,48,34
San Antonio Spurs,2019-20,32,39
San Antonio Spurs,2020-21,33,39
San Antonio Spurs,2021-22,34,48
San Antonio Spurs,2022-23,22,60
San Antonio Spurs,2023-24,22,60
San Antonio Spurs,2024-25,23,28
Oklahoma City Thunder,2000-01,44,38
Oklahoma City Thunder,2001-02,45,37
Oklahoma City Thunder,2002-03,40,42
Oklahoma City Thunder,2003-04,37,45
Oklahoma City Thunder,2004-05,52,30
Oklahoma City Thunder,2005-06,35,47
Oklahoma City Thunder,2006-07,31,51
Oklahoma City Thunder,2007-08,20,62
Oklahoma City Thunder,2008-09,23,59
