TEAM_NAME,FGM,FGA,FG3M,FG3A,FG%,FG3%,FG2M,FG2A,2P%,SEASON
Toronto Raptors,2654,6348,461,1294,41.80844360428481,35.62596599690881,2193,5054,43.391373169766524,2003-04
Utah Jazz,2690,6172,252,786,43.58392741412832,32.06106870229007,2438,5386,45.26550315633123,2003-04
Washington Wizards,2759,6557,434,1270,42.07716943724264,34.17322834645669,2325,5287,43.9757896727823,2003-04
Atlanta Hawks,2942,6672,304,973,44.0947242206235,31.243576567317575,2638,5699,46.28882260045622,2004-05
Boston Celtics,3046,6511,437,1252,46.78236829980034,34.90415335463259,2609,5259,49.61019205172086,2004-05
Charlotte Bobcats,2961,6859,320,881,43.169558244642076,36.322360953461974,2641,5978,44.17865506858481,2004-05
Chicago Bulls,2849,6592,511,1433,43.21905339805826,35.65945568736916,2338,5159,45.31886024423338,2004-05
Cleveland Cavaliers,2990,6687,300,904,44.71362344848213,33.1858407079646,2690,5783,46.51564931696351,2004-05
Dallas Mavericks,3058,6691,463,1273,45.70318338066059,36.37077769049489,2595,5418,47.89590254706534,2004-05
Denver Nuggets,3038,6615,320,940,45.925925925925924,34.04255319148936,2718,5675,47.89427312775331,2004-05
Detroit Pistons,2851,6421,363,1053,44.401183616259146,34.472934472934476,2488,5368,46.34873323397913,2004-05
Golden State Warriors,3029,7039,624,1774,43.03168063645404,35.174746335963924,2405,5265,45.67901234567901,2004-05
Houston Rockets,2846,6419,553,1521,44.337124162642155,36.357659434582516,2293,4898,46.815026541445484,2004-05
Indiana Pacers,2668,6169,542,1575,43.24850056735289,34.41269841269841,2126,4594,46.27775359164127,2004-05
Los Angeles Clippers,2924,6368,231,669,45.91708542713568,34.52914798206278,2693,5699,47.25390419371819,2004-05
Los Angeles Lakers,2895,6629,644,1813,43.6717453612913,35.521235521235525,2251,4816,46.74003322259136,2004-05
Memphis Grizzlies,2802,6271,531,1486,44.68186892042736,35.73351278600269,2271,4785,47.460815047021946,2004-05
Miami Heat,3097,6368,475,1260,48.63379396984925,37.698412698412696,2622,5108,51.331245105716526,2004-05
Milwaukee Bucks,2964,6580,325,925,45.045592705167174,35.13513513513514,2639,5655,46.666666666666664,2004-05
Minnesota Timberwolves,3045,6629,395,1145,45.934530095036955,34.49781659388647,2650,5484,48.32239241429613,2004-05
New Jersey Nets,2753,6419,435,1203,42.88830035831126,36.15960099750624,2318,5216,44.440184049079754,2004-05
New Orleans Hornets,2718,6556,415,1316,41.458206223306895,31.534954407294833,2303,5240,43.95038167938931,2004-05
New York Knicks,2978,6599,441,1240,45.12804970450068,35.564516129032256,2537,5359,47.340921813771224,2004-05
Orlando Magic,3034,6679,320,916,45.42596197035485,34.93449781659388,2714,5763,47.09352767655735,2004-05
Philadelphia 76ers,2946,6736,505,1453,43.735154394299286,34.75567790777701,2441,5283,46.204807874313836,2004-05
Phoenix Suns,3351,7018,796,2026,47.748646337988035,39.28923988153998,2555,4992,51.18189102564102,2004-05
Portland Trail Blazers,2896,6422,420,1161,45.09498598567425,36.17571059431525,2476,5261,47.06329595134005,2004-05
Sacramento Kings,3203,6978,522,1396,45.90140441387217,37.392550143266476,2681,5582,48.029380150483696,2004-05
San Antonio Spurs,2923,6450,507,1395,45.31782945736434,36.344086021505376,2416,5055,47.7942631058358,2004-05
Seattle SuperSonics,2882,6498,666,1824,44.35210834102801,36.51315789473684,2216,4674,47.4112109542148,2004-05
Toronto Raptors,2952,6656,648,1681,44.35096153846153,38.54848304580607,2304,4975,46.311557788944725,2004-05
Utah Jazz,2828,6301,250,762,44.88176479923822,32.808398950131235,2578,5539,46.54269723776855,2004-05
Washington Wizards,2966,6794,514,1498,43.65616720635855,34.31241655540721,2452,5296,46.299093655589125,2004-05
